SHAPE,FROM CTS,TO CTS,COLOR,CLARITY,CUT,PRICE,DATE
RO,0.08,0.14,G,VVS2,EX,880, 8/30/2024
RO,0.08,0.14,G,VS1,EX,820, 8/30/2024
RO,0.08,0.14,G,VS2,EX,820, 8/30/2024
RO,0.08,0.14,G,SI1,EX,770, 8/30/2024
RO,0.08,0.14,G,SI2,EX,690, 8/30/2024
RO,0.08,0.14,G,SI3,EX,620, 8/30/2024
RO,0.08,0.14,G,I1,EX,520, 8/30/2024
RO,0.08,0.14,G,I2,EX,430, 8/30/2024
RO,0.08,0.14,G,I3,EX,360, 8/30/2024
RO,0.08,0.14,H,IF,EX,880, 8/30/2024
RO,0.08,0.14,H,VVS1,EX,880, 8/30/2024
RO,0.08,0.14,H,VVS2,EX,880, 8/30/2024
RO,0.08,0.14,H,VS1,EX,820, 8/30/2024
RO,0.08,0.14,H,VS2,EX,820, 8/30/2024
RO,0.08,0.14,H,SI1,EX,770, 8/30/2024
RO,0.08,0.14,H,SI2,EX,690, 8/30/2024
RO,0.08,0.14,H,SI3,EX,620, 8/30/2024
RO,0.08,0.14,H,I1,EX,520, 8/30/2024
RO,0.08,0.14,H,I2,EX,430, 8/30/2024
RO,0.08,0.14,H,I3,EX,360, 8/30/2024
RO,0.08,0.14,I,IF,EX,800, 8/30/2024
RO,0.08,0.14,I,VVS1,EX,800, 8/30/2024
RO,0.08,0.14,I,VVS2,EX,800, 8/30/2024
RO,0.08,0.14,I,VS1,EX,740, 8/30/2024
RO,0.08,0.14,I,VS2,EX,740, 8/30/2024
RO,0.08,0.14,I,SI1,EX,680, 8/30/2024
RO,0.08,0.14,I,SI2,EX,610, 8/30/2024
RO,0.08,0.14,I,SI3,EX,540, 8/30/2024
RO,0.08,0.14,I,I1,EX,470, 8/30/2024
RO,0.08,0.14,I,I2,EX,390, 8/30/2024
RO,0.08,0.14,I,I3,EX,320, 8/30/2024
RO,0.08,0.14,J,IF,EX,800, 8/30/2024
RO,0.08,0.14,J,VVS1,EX,800, 8/30/2024
RO,0.08,0.14,J,VVS2,EX,800, 8/30/2024
RO,0.08,0.14,J,VS1,EX,740, 8/30/2024
RO,0.08,0.14,J,VS2,EX,740, 8/30/2024
RO,0.08,0.14,J,SI1,EX,680, 8/30/2024
RO,0.08,0.14,J,SI2,EX,610, 8/30/2024
RO,0.08,0.14,J,SI3,EX,540, 8/30/2024
RO,0.08,0.14,J,I1,EX,470, 8/30/2024
RO,0.08,0.14,J,I2,EX,390, 8/30/2024
RO,0.08,0.14,J,I3,EX,320, 8/30/2024
RO,0.08,0.14,K,IF,EX,630, 8/30/2024
RO,0.08,0.14,K,VVS1,EX,630, 8/30/2024
RO,0.08,0.14,K,VVS2,EX,630, 8/30/2024
RO,0.08,0.14,K,VS1,EX,560, 8/30/2024
RO,0.08,0.14,K,VS2,EX,560, 8/30/2024
RO,0.08,0.14,K,SI1,EX,500, 8/30/2024
RO,0.08,0.14,K,SI2,EX,450, 8/30/2024
RO,0.08,0.14,K,SI3,EX,400, 8/30/2024
RO,0.08,0.14,K,I1,EX,340, 8/30/2024
RO,0.08,0.14,K,I2,EX,280, 8/30/2024
RO,0.08,0.14,K,I3,EX,230, 8/30/2024
RO,0.08,0.14,L,IF,EX,630, 8/30/2024
RO,0.08,0.14,L,VVS1,EX,630, 8/30/2024
RO,0.08,0.14,L,VVS2,EX,630, 8/30/2024
RO,0.08,0.14,L,VS1,EX,560, 8/30/2024
RO,0.08,0.14,L,VS2,EX,560, 8/30/2024
RO,0.08,0.14,L,SI1,EX,500, 8/30/2024
RO,0.08,0.14,L,SI2,EX,450, 8/30/2024
RO,0.08,0.14,L,SI3,EX,400, 8/30/2024
RO,0.08,0.14,L,I1,EX,340, 8/30/2024
RO,0.08,0.14,L,I2,EX,280, 8/30/2024
RO,0.08,0.14,L,I3,EX,230, 8/30/2024
